D	q
1.460957035512545736e-03	1.745500604757971863e-01
1.472932093180681634e-03	1.752348697812255163e-01
1.484907150848817099e-03	1.759196790866538185e-01
1.496882208516952997e-03	1.766044883920821484e-01
1.508857266185088461e-03	1.772892976975104506e-01
1.520832323853223925e-03	1.779741070029387529e-01
1.532807381521359390e-03	1.786589163083670551e-01
1.544782439189495288e-03	1.793437256137953850e-01
1.556757496857630752e-03	1.800285349192236872e-01
1.568732554525766650e-03	1.807133442246520172e-01
1.580707612193902115e-03	1.813981535300803194e-01
1.592682669862037579e-03	1.820829628355086216e-01
1.604657727530173043e-03	1.827677721409369238e-01
1.616632785198308941e-03	1.834525814463652538e-01
1.628607842866444839e-03	1.841373907517935837e-01
1.640582900534580304e-03	1.848222000572218859e-01
1.652557958202715768e-03	1.855070093626501881e-01
1.664533015870851233e-03	1.861918186680784904e-01
1.676508073538986697e-03	1.868766279735067926e-01
1.688483131207122595e-03	1.875614372789351225e-01
1.700458188875258493e-03	1.882462465843634525e-01
1.712433246543393957e-03	1.889310558897917547e-01
1.724408304211529422e-03	1.896158651952200569e-01
1.736383361879664886e-03	1.903006745006483591e-01
1.748358419547800784e-03	1.909854838060766891e-01
1.760333477215936249e-03	1.916702931115049913e-01
1.772308534884072147e-03	1.923551024169333212e-01
1.784283592552207611e-03	1.930399117223616234e-01
1.796258650220343075e-03	1.937247210277899256e-01
1.808233707888478540e-03	1.944095303332182278e-01
1.820208765556614438e-03	1.950943396386465578e-01
1.832183823224749902e-03	1.957791489440748600e-01
1.844158880892885800e-03	1.964639582495031900e-01
1.856133938561021265e-03	1.971487675549314922e-01
1.868108996229156729e-03	1.978335768603597944e-01
1.880084053897292194e-03	1.985183861657880966e-01
1.892059111565428092e-03	1.992031954712164266e-01
1.904034169233563990e-03	1.998880047766447565e-01
1.916009226901699454e-03	2.005728140820730587e-01
1.927984284569834918e-03	2.012576233875013609e-01
1.939959342237970383e-03	2.019424326929296631e-01
1.951934399906105847e-03	2.026272419983579653e-01
1.963909457574241745e-03	2.033120513037862953e-01
1.975884515242377643e-03	2.039968606092146253e-01
1.987859572910513108e-03	2.046816699146429275e-01
1.999834630578648572e-03	2.053664792200712297e-01
2.011809688246784036e-03	2.060512885254995319e-01
2.023784745914919934e-03	2.067360978309278619e-01
2.035759803583055399e-03	2.074209071363561641e-01
2.047734861251191297e-03	2.081057164417844940e-01
2.059709918919326761e-03	2.087905257472127962e-01
2.071684976587462226e-03	2.094753350526410984e-01
2.083660034255597690e-03	2.101601443580694006e-01
2.095635091923733588e-03	2.108449536634977306e-01
2.107610149591869052e-03	2.115297629689260328e-01
2.119585207260005384e-03	2.122145722743543628e-01
2.131560264928140849e-03	2.128993815797826650e-01
2.143535322596275879e-03	2.135841908852109672e-01
2.155510380264411344e-03	2.142690001906392694e-01
2.167485437932547675e-03	2.149538094960675993e-01
2.179460495600683573e-03	2.156386188014959293e-01
2.191435553268819038e-03	2.163234281069242315e-01
2.203410610936954502e-03	2.170082374123525337e-01
2.215385668605089967e-03	2.176930467177808359e-01
2.227360726273225865e-03	2.183778560232091659e-01
2.239335783941361329e-03	2.190626653286374681e-01
2.251310841609496793e-03	2.197474746340657703e-01
2.263285899277632691e-03	2.204322839394941003e-01
2.275260956945768156e-03	2.211170932449224025e-01
2.287236014613903620e-03	2.218019025503507047e-01
2.299211072282039518e-03	2.224867118557790346e-01
2.311186129950174983e-03	2.231715211612073368e-01
2.323161187618310013e-03	2.238563304666356391e-01
2.335136245286445911e-03	2.245411397720639690e-01
2.347111302954581809e-03	2.252259490774922712e-01
2.359086360622716840e-03	2.259107583829205734e-01
2.371061418290852738e-03	2.265955676883489034e-01
2.383036475958988636e-03	2.272803769937772056e-01
2.395011533627124534e-03	2.279651862992055356e-01
2.406986591295259565e-03	2.286499956046338378e-01
2.418961648963395463e-03	2.293348049100621400e-01
2.430936706631531361e-03	2.300196142154904699e-01
2.442911764299666392e-03	2.307044235209187721e-01
2.454886821967802290e-03	2.313892328263470743e-01
2.466861879635938188e-03	2.320740421317754043e-01
2.478836937304073219e-03	2.327588514372037065e-01
2.490811994972209117e-03	2.334436607426320087e-01
2.502787052640345015e-03	2.341284700480603387e-01
2.514762110308480045e-03	2.348132793534886409e-01
2.526737167976615944e-03	2.354980886589169431e-01
2.538712225644751842e-03	2.361828979643452731e-01
2.550687283312886872e-03	2.368677072697735753e-01
2.562662340981022770e-03	2.375525165752018775e-01
2.574637398649158668e-03	2.382373258806302074e-01
2.586612456317293699e-03	2.389221351860585096e-01
2.598587513985429597e-03	2.396069444914868118e-01
2.610562571653565495e-03	2.402917537969151418e-01
2.622537629321700526e-03	2.409765631023434440e-01
2.634512686989836424e-03	2.416613724077717462e-01
2.646487744657972322e-03	2.423461817132000762e-01
2.658462802326108220e-03	2.430309910186283784e-01
2.670437859994244118e-03	2.437158003240567083e-01
2.682412917662379149e-03	2.444006096294850106e-01
2.694387975330515047e-03	2.450854189349133128e-01
2.706363032998650945e-03	2.457702282403416427e-01
2.718338090666785976e-03	2.464550375457699449e-01
2.730313148334921874e-03	2.471398468511982471e-01
2.742288206003057772e-03	2.478246561566265771e-01
2.754263263671192803e-03	2.485094654620548793e-01
2.766238321339328701e-03	2.491942747674831815e-01
2.778213379007464599e-03	2.498790840729115115e-01
2.790188436675600497e-03	2.505638933783398414e-01
2.802163494343734660e-03	2.512487026837680881e-01
2.814138552011871425e-03	2.519335119891964458e-01
2.826113609680006456e-03	2.526183212946247481e-01
2.838088667348142354e-03	2.533031306000530503e-01
2.850063725016278252e-03	2.539879399054814080e-01
2.862038782684413283e-03	2.546727492109096547e-01
2.874013840352549181e-03	2.553575585163380124e-01
2.885988898020685079e-03	2.560423678217663146e-01
2.897963955688820110e-03	2.567271771271946168e-01
2.909939013356956008e-03	2.574119864326229190e-01
2.921914071025091039e-03	2.580967957380512212e-01
2.933889128693227804e-03	2.587816050434795789e-01
2.945864186361362835e-03	2.594664143489078811e-01
2.957839244029498733e-03	2.601512236543361833e-01
2.969814301697633763e-03	2.608360329597644856e-01
2.981789359365769661e-03	2.615208422651927878e-01
2.993764417033905560e-03	2.622056515706211455e-01
3.005739474702040590e-03	2.628904608760493922e-01
3.017714532370176488e-03	2.635752701814777499e-01
3.029689590038312386e-03	2.642600794869060521e-01
3.041664647706447417e-03	2.649448887923343543e-01
3.053639705374584182e-03	2.656296980977627120e-01
3.065614763042718346e-03	2.663145074031909587e-01
3.077589820710855111e-03	2.669993167086193164e-01
3.089564878378990142e-03	2.676841260140476186e-01
3.101539936047126040e-03	2.683689353194759208e-01
3.113514993715261071e-03	2.690537446249042230e-01
3.125490051383396969e-03	2.697385539303325253e-01
3.137465109051532867e-03	2.704233632357608830e-01
3.149440166719667897e-03	2.711081725411891297e-01
3.161415224387803796e-03	2.717929818466174874e-01
3.173390282055939694e-03	2.724777911520457896e-01
3.185365339724074724e-03	2.731626004574740918e-01
3.197340397392211490e-03	2.738474097629024495e-01
3.209315455060345653e-03	2.745322190683306962e-01
3.221290512728482418e-03	2.752170283737590539e-01
3.233265570396617449e-03	2.759018376791873561e-01
3.245240628064753347e-03	2.765866469846156583e-01
3.257215685732889245e-03	2.772714562900440161e-01
3.269190743401024276e-03	2.779562655954722628e-01
3.281165801069160174e-03	2.786410749009006205e-01
3.293140858737296072e-03	2.793258842063289227e-01
3.305115916405431103e-03	2.800106935117572249e-01
3.317090974073567001e-03	2.806955028171855271e-01
3.329066031741702032e-03	2.813803121226138293e-01
3.341041089409838797e-03	2.820651214280421870e-01
3.353016147077972960e-03	2.827499307334704337e-01
3.364991204746109726e-03	2.834347400388987914e-01
3.376966262414244756e-03	2.841195493443270936e-01
3.388941320082380654e-03	2.848043586497553958e-01
3.400916377750516553e-03	2.854891679551837536e-01
